epoch,train_loss,train_acc,val_loss,val_acc
1,2.803596490182988,0.23177527578755827,2.503300082159233,0.30570701563067976
2,2.4023347716546772,0.3302627089730467,2.2814248153314898,0.35768811341330425
3,2.179497515668536,0.3861025815989992,2.155339638132132,0.386041439476554
4,2.002085380528169,0.4352325713635847,1.9915560791163998,0.4216648491457652
5,1.821084802256202,0.4840213806436938,2.0107282208599035,0.43147946201381315
6,1.6699625032151177,0.5206414193108154,1.59197402264759,0.5376226826608506
7,1.5693395501664646,0.5499829409757762,1.466951966740703,0.569611050527081
8,1.4171860015366544,0.593654042988741,1.3555690774437472,0.589240276263177
9,1.222944684637619,0.6491527351302172,1.095172805813866,0.6866593965830607
10,1.1526476589469905,0.6680313886045718,1.0439100054470853,0.7022900763358778
11,1.0834933728688028,0.6925963834868646,1.0758166286088215,0.6837513631406761
12,1.0297240079310137,0.703400432161947,1.0107993078379145,0.7004725554343875
13,0.9812768569283283,0.7213692710110315,1.0472895387453152,0.6895674300254453
14,0.9199765628886063,0.7392243830319573,0.9160769335012876,0.7255543438749545
15,0.8816287801233993,0.7477538951438645,0.8119704349881214,0.7629952744456562
16,0.8306781130548523,0.7664050949619016,0.8548944653467194,0.7491821155943293
17,0.73541342894887,0.7987035141589901,0.6490222080886602,0.8215194474736459
18,0.6812228108515285,0.8147389969293757,0.5666960474254,0.8495092693565977
19,0.6525962801227984,0.8195155237120437,0.5859436277193141,0.8400581606688476
20,0.6266433879077251,0.8261116797452519,0.5770344195643021,0.8324245728825882
21,0.6112272935042158,0.8335039235755715,0.5368267076637735,0.8491457651762996
22,0.5925358084502731,0.8389628113271921,0.502990212393041,0.8625954198473282
23,0.5633461095700285,0.8460138746730353,0.5237396737605994,0.8553253362413668
24,0.556279502098137,0.8463550551575116,0.4805548876396681,0.8793166121410396
25,0.48474332630925787,0.8710337768679631,0.39218327400360226,0.9040348964013086
26,0.4647438381768379,0.8771750255885363,0.38306096146070756,0.9080334423845874
27,0.4564829144572203,0.881155464574093,0.3917475018971229,0.8956743002544529
28,0.44722444918203663,0.8838849084499033,0.4043276742972794,0.8942202835332607
29,0.43716303444784493,0.8860457181849198,0.3624437745919188,0.910577971646674
30,0.42333700285115966,0.8925281473899693,0.35963377472716046,0.906215921483097
31,0.4136170455413807,0.8915046059365405,0.3565859252086599,0.9127589967284624
32,0.40023413911948197,0.8967360400318435,0.3498320727213345,0.9138495092693566
33,0.3760864211744814,0.905606732628227,0.31049804378914336,0.9218466012359142
34,0.3654224004108833,0.9082224496758785,0.3176483689454936,0.9251181388585968
35,0.35617383820034737,0.9122028886614353,0.308133774464432,0.9222101054162123
36,0.36083208444269527,0.9127715228022291,0.28303039434962773,0.9371137768084333
37,0.3511552512882974,0.9128852496303879,0.28735372564958167,0.9331152308251545
38,0.34382812983344657,0.9178892300693734,0.30055140421168236,0.9280261723009815
39,0.3425800497656889,0.9100420789264188,0.2768442081412763,0.9334787350054525
40,0.32650945875122184,0.9205049471170249,0.2679942159198146,0.9374772809887314
41,0.32195936770253686,0.9218696690549301,0.2680105541005693,0.9378407851690295
42,0.31383389861906646,0.9253952007278518,0.25562228194174874,0.9432933478735005
43,0.3098797037016338,0.9267599226657568,0.2629367470936271,0.9360232642675391
44,0.3067053369656637,0.9292619128852496,0.26519416022933384,0.9374772809887314
45,0.30347411132680396,0.9259638348686455,0.26287697496109985,0.9400218102508179
46,0.29964983638854314,0.9310815421357899,0.25234973283842754,0.9432933478735005
47,0.30203598257110587,0.9306266348231548,0.26093659746846215,0.9392948018902217
48,0.30130754265988036,0.9294893665415671,0.250136819482933,0.9429298436932024
49,0.2867751588773147,0.937677698168998,0.23905309759857696,0.9469283896764813
50,0.2851710412250937,0.9361992494029342,0.2432156850244296,0.9443838604143948
